Date,Actual,Basic_nn,Complex_nn,xgb,rf,Baseline
86047,6729.53,6597.9644,6595.863,6669.6387,7879.179163701813,6227.1465
86048,6968.24,6673.1396,6693.538,6847.025,7879.179163701813,6514.786
86049,7165.2,7040.899,7005.6313,7151.636,7884.710218169327,7055.7915
86050,7764.98,7249.9443,7313.275,7699.6133,7893.313520230521,7286.157
86051,8301.17,7733.052,7943.969,8192.653,7948.894452200037,7767.822
86052,8652.23,8354.444,8606.368,8720.95,7948.894452200037,8336.786
86053,9112.000000000002,8950.1875,9055.061,9110.8545,8142.597025030251,8908.292
86054,9473.62,9452.34,9365.433,9380.038,8423.759287747065,9377.011
86055,9749.28,9618.607,9532.056,9467.382,8685.571576178752,9642.6875
86056,10047.51,9656.011,9618.251,9733.581,8955.121970905328,9781.957
86057,10199.95,9751.6455,9736.115,9822.04,9081.216413407828,9863.523
86058,10421.91,9750.81,9798.612,9889.817,9252.392418686844,9899.3955
86059,10504.25,9816.062,9837.052,10005.31,9382.38473006724,9957.663
86060,10467.54,9875.271,9827.049,10028.27,9464.369002870972,9987.831
86061,10474.48,9894.038,9819.513,10007.175,9564.391824058785,10013.876
86062,10425.8,9927.649,9850.753,9967.732,9623.984396429363,10053.8955
86063,10434.05,9924.745,9861.404,9965.127,9675.07930632377,10074.164
86064,10387.62,9908.121,9832.257,10001.181,9682.252316847034,10043.668
86065,10255.64,9929.467,9844.297,9908.669,9682.252316847034,10069.162
86066,10079.61,9920.132,9859.747,9990.493,9682.252316847034,10106.243
86067,10005.6,9961.208,9890.064,10042.676,9682.252316847034,10144.725
86068,9878.18,10004.999,9896.692,10095.719,9682.252316847034,10132.885
86069,9705.36,9977.537,9867.207,10064.406,9682.252316847034,10038.294
86070,9582.39,9965.628,9897.28,10101.479,9682.252316847034,10021.911
86071,9615.68,9992.793,9924.902,10077.825,9687.918672828537,10046.5205
86072,9572.51,10047.929,9919.696,10120.505,9680.133547281925,10067.186
86073,9594.129999999996,10052.915,9885.532,10059.173,9649.556699466217,10105.431
86074,9403.11,10060.751,9839.215,9861.16,9660.31570073132,10118.166
86075,9213.98,9936.252,9668.244,9805.273,9623.685313334225,9966.309
86076,8993.86,9876.101,9527.137,9556.113,9610.761378368725,9917.708
86077,8949.15,9716.773,9405.525,9506.976,9587.721209060186,9761.98
86078,8978.68,9561.422,9340.354,9543.974,9575.035853500944,9624.691
86079,8994.210000000001,9482.187,9336.477,9492.255,9550.236410249669,9479.115
86080,8781.87,9366.485,9269.934,9162.363,9529.203413144023,9285.348
86081,8530.68,9048.124,9077.929,8907.595,9445.268212631558,8958.013
86082,8483.23,8658.742,8819.193,8794.578,9213.292981780176,8564.743
86083,8245.1,8532.922,8702.466,8647.487,9038.089094447556,8363.066
86084,8215.07,8354.398,8529.911,8555.801,8981.144422178377,8094.1733
86085,8083.06,8326.927,8411.251,8390.493,8902.663023452136,8011.4478
86086,7847.47,8157.169,8250.788,8221.413,8827.829644912621,7804.0796
86087,7655.29,7932.418,8074.1978,8003.9053,8455.012423995942,7644.1963
86088,7456.220000000001,7683.853,7783.188,7791.982,8177.141878301075,7353.3438
86089,7226.490000000001,7525.7544,7583.745,7539.389,7971.7297011564815,7134.205
86090,6964.52,7345.3823,7423.783,7235.632,7922.468183578132,6901.711
86091,6727.05,7100.3135,7200.0366,6952.015,7909.486956974593,6520.279
86092,6546.17,6825.42,6953.554,6723.637,7909.486956974593,6273.8154
86093,6485.81,6702.8384,6784.6465,6609.212,7906.676035404157,6236.3184
86094,6449.02,6605.1133,6690.4517,6578.425,7906.676035404157,6163.554
86095,6545.72,6604.8564,6689.5137,6605.8506,7906.676035404157,6333.343
86096,6793.83,6692.8745,6789.043,6758.089,7906.676035404157,6640.124
86097,7014.99,7091.859,7118.245,7108.51,7912.207089871671,7178.9893
86098,7557.14,7324.466,7447.7,7615.3696,7912.207089871671,7442.1255
86099,8063.95,7789.8306,8027.819,8186.065,7920.810391932866,7885.3867
86100,8404.65,8408.476,8633.105,8624.38,8094.40453002745,8424.556
86101,8775.34,8930.267,9018.845,9015.893,8187.261771106387,8936.465
86102,9023.61,9403.539,9324.152,9329.252,8472.959163457628,9395.561
86103,9192.9,9592.895,9510.155,9440.27,8732.41838028283,9657.517
86104,9427.04,9748.148,9657.622,9781.696,8945.271782608868,9828.72
86105,9507.14,9929.407,9800.698,9913.848,9142.535766158124,9997.3
86106,9528.89,10038.232,9890.917,9993.289,9257.150177360889,10072.335
86107,9494.33,10103.308,9914.715,10098.263,9328.29069209533,10157.874
86108,9470.4,10101.907,9899.19,10031.009,9449.4557104426,10216.145
86109,9437.37,10087.457,9906.969,10038.602,9552.962448367309,10225.03
86110,9383.72,10127.41,9951.119,10113.516,9647.307975651378,10236.1875
86111,9375.24,10118.66,9962.5,10229.594,9667.43163501526,10251.93
86112,9385.37,10092.427,9939.473,10250.722,9674.604645538524,10230.526
86113,9357.67,10133.613,9946.955,10294.197,9682.252316847034,10281.228
86114,9340.12,10202.67,9978.198,10336.246,9682.252316847034,10352.735
86115,9305.39,10259.447,9971.919,10342.115,9682.252316847034,10376.142
86116,9321.899999999998,10287.27,9959.8,10258.11,9682.252316847034,10352.689
86117,9260.88,10279.256,9944.542,10090.78,9668.502066155508,10213.208
86118,9277.83,10261.519,9967.709,10031.597,9668.502066155508,10183.118
86119,9270.07,10206.996,9951.097,9900.59,9659.910578594569,10124.932
86120,9165.36,10179.773,9897.341,9806.012,9661.472766851914,10013.612
